gene_id	S_10_KO_effector_CD4_plus_S58061	S_11_KO_effector_CD4_plus_S58060	S_12_KO_effector_CD4_plus_S58059	S_1_WT_naive_CD4_plus_S58056	S_2_WT_naive_CD4_plus_S58057	S_3_WT_naive_CD4_plus_S58058	S_4_WT_effector_CD4_plus_S58052	S_5_WT_effector_CD4_plus_S58053	S_6_WT_effector_CD4_plus_S58054	S_7_KO_naive_CD4_plus_S58055	S_8_KO_naive_CD4_plus_S58063	S_9_KO_naive_CD4_plus_S58062
ENSMUSG00000102693	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064842	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051951	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102851	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103377	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104017	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103025	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089699	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103201	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103147	0	1	3	2	1	0	3	0	2	4	0	2
ENSMUSG00000103161	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102331	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102348	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102592	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088333	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102343	1	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025900	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102948	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104123	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025902	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104238	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102269	56	59	35	44	49	23	35	39	46	49	46	38
ENSMUSG00000096126	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103003	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104328	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102735	21	25	17	34	39	15	18	32	33	30	34	31
ENSMUSG00000098104	457	589	344	578	623	444	390	354	425	860	842	695
ENSMUSG00000102175	6	4	1	4	5	2	2	4	5	5	10	4
ENSMUSG00000088000	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103265	0	0	0	1	0	0	0	0	0	0	1	0
ENSMUSG00000103922	48	73	33	74	59	43	65	47	55	99	107	72
ENSMUSG00000033845	572	672	431	673	662	443	530	508	549	848	841	733
ENSMUSG00000102275	4	9	1	8	6	5	6	1	12	10	8	7
ENSMUSG00000025903	459	505	312	449	471	319	446	331	424	552	584	475
ENSMUSG00000104217	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033813	762	825	507	877	758	532	737	564	638	906	955	809
ENSMUSG00000062588	24	26	18	10	18	5	29	20	27	25	18	21
ENSMUSG00000103280	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000002459	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091305	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102653	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085623	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091665	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033793	810	899	599	865	823	552	810	666	768	1075	1127	970
ENSMUSG00000104352	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104046	0	0	0	0	0	0	1	0	0	0	1	0
ENSMUSG00000102907	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025905	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103936	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093015	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103519	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033774	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103090	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025907	1700	1697	1016	1989	1877	1255	1390	1071	1495	2164	2383	1966
ENSMUSG00000090031	69	60	35	84	92	69	61	44	70	63	91	84
ENSMUSG00000087247	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103355	15	13	8	18	15	16	7	6	11	16	20	10
ENSMUSG00000102706	0	0	0	0	0	0	0	0	0	0	1	1
ENSMUSG00000103845	88	87	65	59	57	45	55	47	71	83	83	91
ENSMUSG00000033740	0	1	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000103329	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104385	0	1	0	0	0	0	1	0	1	0	1	0
ENSMUSG00000102135	377	426	270	866	809	564	316	326	375	1032	1060	898
ENSMUSG00000103282	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102534	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102213	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051285	998	1126	651	1221	1140	732	999	702	1000	1246	1349	1131
ENSMUSG00000098201	185	219	133	380	317	217	208	167	154	511	514	499
ENSMUSG00000103509	103	63	44	95	54	44	64	40	59	87	73	43
ENSMUSG00000048538	116	153	101	120	111	70	150	93	139	128	115	93
ENSMUSG00000103709	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000077244	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102768	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097797	3	1	1	7	0	2	2	4	5	7	1	1
ENSMUSG00000103498	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103067	1	1	1	0	1	1	1	1	3	2	1	4
ENSMUSG00000102320	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104226	2	1	1	0	4	0	3	3	1	2	4	2
ENSMUSG00000103903	0	0	0	0	0	0	1	0	0	2	2	0
ENSMUSG00000103557	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025909	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102647	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086235	11	11	16	6	9	2	17	9	11	13	7	7
ENSMUSG00000102253	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093970	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103884	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084353	55	70	41	22	13	12	39	23	51	20	20	27
ENSMUSG00000103933	2457	2600	1662	4125	3917	2958	2097	1941	2291	5254	5367	4287
ENSMUSG00000076135	1	2	2	7	5	2	4	3	6	6	11	8
ENSMUSG00000086195	4	6	4	2	11	4	8	6	3	10	11	4
ENSMUSG00000104504	7	15	5	5	6	5	11	8	4	4	10	8
ENSMUSG00000066693	97	119	65	100	96	46	87	64	98	126	130	110
ENSMUSG00000102316	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103819	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102871	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101571	1	1	0	0	0	0	0	0	0	1	1	1
ENSMUSG00000104428	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102272	1	2	0	1	3	1	1	1	0	1	7	0
ENSMUSG00000065625	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103411	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000061024	405	553	308	495	550	348	365	341	411	706	718	590
ENSMUSG00000025911	0	2	1	3	2	1	3	2	1	3	7	4
